key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp.keys,key_resp_3.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,left,right,left_selected,right_selected,right_rew_dbl,left_rew_dbl,stim1,stim2,trigger_integer,block,trial_n,trial_id,right_rew,left_rew,typeOfChoice,correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.rt,key_resp_2.rt
,,,,left,0,45,45,45,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,72,31,4,1,41,4,46,586,7 2,3 1,3,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.113200001,
,,,,left,0,46,46,46,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,49,49,3,2,32,4,47,587,4 9,4 9,4,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.2046,
,,,,right,0,47,47,47,1,b_4.png,g_4.png,b_4_d.png,g_4_d.png,88,14,3,1,31,4,48,588,8 8,1 4,2,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.689,
,,,,left,0,48,48,48,1,g_4.png,y_4.png,g_4_d.png,y_4_d.png,40,54,1,4,14,4,49,589,4 0,5 4,3,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.7174,
,,,,right,0,49,49,49,1,p_4.png,y_4.png,p_4_d.png,y_4_d.png,47,64,2,4,24,4,50,590,4 7,6 4,5,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.779099999,
,,,,left,0,50,50,50,1,g_4.png,p_4.png,g_4_d.png,p_4_d.png,62,56,1,2,12,4,51,591,6 2,5 6,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5804,
,,,,right,0,51,51,51,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,66,61,2,1,21,4,52,592,6 6,6 1,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.9073,
,,,,right,0,52,52,52,1,p_4.png,y_4.png,p_4_d.png,y_4_d.png,49,57,2,4,24,4,53,593,4 9,5 7,5,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.4668,
,,,,left,0,53,53,53,1,b_4.png,g_4.png,b_4_d.png,g_4_d.png,43,27,3,1,31,4,54,594,4 3,2 7,2,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.9094,
,,,,right,0,54,54,54,1,b_4.png,g_4.png,b_4_d.png,g_4_d.png,58,23,3,1,31,4,55,595,5 8,2 3,2,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.598599999,
,,,,right,0,55,55,55,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,34,54,2,1,21,4,56,596,3 4,5 4,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8108,
,,,,left,0,56,56,56,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,48,69,2,1,21,4,57,597,4 8,6 9,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.540099999,
,,,,left,0,57,57,57,1,g_4.png,y_4.png,g_4_d.png,y_4_d.png,29,75,1,4,14,4,58,598,2 9,7 5,3,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.4062,
